,title,source,target,start_date,end_date,geom
0,Abydos,501325,550812,-188.0,-133,POINT (26.409131 40.1951155)
1,Didymateiche,511235,550812,-218.0,-133,POINT (27.274404 40.286031)
2,Panion/Theodosiopolis,511351,550812,-178.0,-133,POINT (27.466995 40.907132)
3,Parium/Col. Gemella Iulia *Hadriana,511354,550812,-188.0,-133,POINT (27.069096 40.420499)
4,Lilaia,540915,550812,-210.0,-133,POINT (22.5012665 38.6319828)
5,Oreos,540988,550812,-209.0,-133,POINT (23.099168 38.949781)
6,Apollonis,550444,550812,-178.0,-133,POINT (27.684641 38.898866)
7,Aspordenos M.,550461,550812,-282.0,-133,POINT (27.31667 38.9)
8,Attaleia,550472,550812,-263.0,-133,POINT (27.75 39.25)
9,Caicus (river),550491,550812,-263.0,-133,POINT (27.0057354 38.9471678)
10,Elaitikos Sinus,550525,550812,-263.0,-133,POINT (26.9166685 38.8666685)
11,Gargara,550544,550812,-282.0,-133,POINT (26.540773 39.534465)
12,Gergitha?,550548,550812,-241.0,-133,POINT (27.694738 39.184733)
13,Magnesia ad Sipylum,550706,550812,-188.0,-133,POINT (27.4873015 38.541317)
14,Mysia (region),550759,550812,-218.0,-133,POINT (27.1750848165 39.1250418874)
15,Pergamum,550812,550812,-282.0,-133,POINT (27.1845303333 39.1312133333)
16,Philadelpheia,550822,550812,-159.0,-133,POINT (28.516621 38.35037355)
17,Phocaea,550823,550812,-188.0,-133,POINT (26.754884 38.6703265)
18, Sardis/Hyde?,550867,550812,-188.0,-133,POINT (28.040286 38.488314)
19,Skepsis,550890,550812,-188.0,-133,POINT (26.688003 39.82554)
20,Temnos,550908,550812,-218.0,-133,POINT (27.196998 38.671912)
21,Teos,550913,550812,-218.0,-133,POINT (26.785397 38.185491)
22,Thyateira,550924,550812,-188.0,-133,POINT (27.844879 38.910724)
23,Philetaireia,554310,550812,-263.0,-133,POINT (26.84234605 39.6922234)
24,Aegina (island),579844,550812,-210.0,-133,POINT (23.430141 37.7409397)
25,Eretria,579925,550812,-209.0,-133,POINT (23.7918065 38.399266)
26,Andros (island),589693,550812,-200.0,-133,POINT (24.86 37.85)
27,Lebedos/Ptolemais,599754,550812,-188.0,-133,POINT (26.964722 38.077883)
28,Magnesia ad Maeandrum/Leukophrys,599778,550812,-188.0,-133,POINT (27.526039 37.8505485)
29,Tralles/Dia/Seleuceia ad Maeandrum/Kaisareia,599987,550812,-188.0,-133,POINT (27.839042 37.8566255)
30,Fulvia/Eumeneia,609382,550812,-159.0,-133,POINT (29.8486215 38.320018)
31,Tyr(i)aion?,609564,550812,-188.0,-133,POINT (31.904303 38.282553)
32,Attalea,638778,550812,-159.0,-133,POINT (30.699968 36.8903095)
33,Olbasa/Col. Iulia Augusta,639015,550812,-188.0,-133,POINT (30.009279 37.3075125)
34,Ouasada,639028,550812,-150.0,-133,POINT (31.9244045 37.4952375)
35,Telmessos,639137,550812,-188.0,-133,POINT (29.1141469333 36.6221440667)
0,Gephrous/Ephron,678157,45635759,-218.0,,POINT (35.719967 32.537863)
1,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?,912872,45635759,,,POINT (47.562804 30.8093425)
2,Drangiane/Zarangiane (region),29547,45635759,,,POINT (62.5 32.5)
3,Scythopolis/Nysa,678378,45635759,-218.0,,POINT (35.502981 32.5033615)
4,Brochoi,678076,45635759,-218.0,,POINT (35.815121 33.797454)
5,Epiphaneia ad Euphratem,658460,45635759,,,POINT (37.877961 37.098167)
6,Mesopotamia,1001936,45635759,,,POINT (37.5 37.5)
7,Adora,687810,45635759,,,POINT (35.027257 31.506582)
8,Gala(a)ditis,678143,45635759,,,POINT (35.75 32.75)
9,Marathos,668306,45635759,-218.0,,POINT (35.9076265 34.832632)
10,Arbela,678029,45635759,,,POINT (35.504873 32.807057)
11,Areth(o)usa,668199,45635759,,,POINT (36.735111 34.960169)
12,Berytus/Laodikeia en te Phoinike/Col. Iulia Augusta Felix,678060,45635759,-218.0,,POINT (35.511241 33.8985935)
13,Gabala,668250,45635759,,,POINT (35.922327 35.378062)
14,Apolloniatis/Sittacene,893939,45635759,,,POINT (44.5 33.5)
15,Chasp(h)o,678089,45635759,,,POINT (35.8441 32.864811)
16,Emmaus/Nicopolis,687891,45635759,,,POINT (34.989428 31.839295)
17,Varkana/Hyrcania/Gurgan,942333,45635759,,,POINT (56.3 37.1)
18,Veh Ardashir/Coche/Mahoza/‘Seleucia’,894178,45635759,,,POINT (44.551979 33.09914)
19,Hippos,678185,45635759,,,POINT (35.6597945 32.7786705)
20,Phoenice (region),678334,45635759,,,POINT (35.25 33.25)
21,Arabia,29475,45635759,-218.0,,POINT (42.5 27.5)
22,Ja Nishin/Soloke?/Seleucia?/Surak?,912870,45635759,,,POINT (49.426712 30.987225)
23,[Khuvar]/Choara/Apameia (Rhagiane)?,942286,45635759,,,POINT (52.497326 35.286884)
24,Heliopolis/Col. Iulia Augusta Felix,678179,45635759,,,POINT (36.2021205 34.0110135)
25,Adana/Antiochia ad Sarum,648548,45635759,,,POINT (35.3325011 36.9949537)
26,Parapotamia,668334,45635759,,,POINT (38.75 35.75)
27,Mopsou(h)estia/Seleukeia pros to Pyramo,658538,45635759,,,POINT (35.61627 36.9644503333)
28,Damascus,678106,45635759,,,POINT (36.309102 33.511612)
