,title,source,target,start_date,end_date,geom
0,Aspordenos M.,550461,550812,-282.0,-133,POINT (27.31667 38.9)
1,Attaleia,550472,550812,-263.0,-133,POINT (27.75 39.25)
2,Caicus (river),550491,550812,-263.0,-133,POINT (27.0057354 38.9471678)
3,Elaitikos Sinus,550525,550812,-263.0,-133,POINT (26.9166685 38.8666685)
4,Gargara,550544,550812,-282.0,-133,POINT (26.540773 39.534465)
5,Pergamum,550812,550812,-282.0,-133,POINT (27.1845303333 39.1312133333)
6,Philetaireia,554310,550812,-263.0,-133,POINT (26.84234605 39.6922234)
0,Gephrous/Ephron,678157,45635759,,,POINT (35.719967 32.537863)
1,Jebel Khayabir/Alexandria?/Antiochia?/Spasinou Charax?/Karkh Maisan?/[Astarabad Ardashir]?,912872,45635759,,,POINT (47.562804 30.8093425)
2,Sely(m)bria/Eudoxiopolis,511414,45635759,,-188,POINT (28.247677 41.078496)
3,Drangiane/Zarangiane (region),29547,45635759,,,POINT (62.5 32.5)
4,Scythopolis/Nysa,678378,45635759,,,POINT (35.502981 32.5033615)
5,Epiphaneia ad Euphratem,658460,45635759,,,POINT (37.877961 37.098167)
6,Mesopotamia,1001936,45635759,,,POINT (37.5 37.5)
7,Adora,687810,45635759,,,POINT (35.027257 31.506582)
8,Gala(a)ditis,678143,45635759,,,POINT (35.75 32.75)
9,Marathos,668306,45635759,,,POINT (35.9076265 34.832632)
10,Arbela,678029,45635759,,,POINT (35.504873 32.807057)
11,Sestos,501609,45635759,,-188,POINT (26.40291625 40.2206527)
12,Seleukeia,639099,45635759,,-188,POINT (31.3547 36.852067)
13,Areth(o)usa,668199,45635759,-305.0,-281,POINT (36.735111 34.960169)
14,Bargylia,599550,45635759,,-188,POINT (27.588037 37.1957785)
15,Berytus/Laodikeia en te Phoinike/Col. Iulia Augusta Felix,678060,45635759,,,POINT (35.511241 33.8985935)
16,Telmessos,639137,45635759,,-188,POINT (29.1141469333 36.6221440667)
17,Gabala,668250,45635759,,,POINT (35.922327 35.378062)
18,Kobedyle,614706,45635759,,-188,POINT (28.75 38.75)
19,Apolloniatis/Sittacene,893939,45635759,,,POINT (44.5 33.5)
20,Chasp(h)o,678089,45635759,,,POINT (35.8441 32.864811)
21,Cilicia,658440,45635759,,-188,POINT (33.25 36.25)
22,Emmaus/Nicopolis,687891,45635759,,,POINT (34.989428 31.839295)
23,Varkana/Hyrcania/Gurgan,942333,45635759,-282.0,-245,POINT (56.3 37.1)
24,Alabanda/Antiocheia Chrysaoron,599479,45635759,-274.0,-261,POINT (27.970901 37.5973855)
25,Veh Ardashir/Coche/Mahoza/‘Seleucia’,894178,45635759,,,POINT (44.551979 33.09914)
26,Apollonia/Mordiaion/Sozopolis,638758,45635759,-281.0,-261,POINT (30.46384 38.0757215)
27,Hippos,678185,45635759,,,POINT (35.6597945 32.7786705)
28,Phoenice (region),678334,45635759,,,POINT (35.25 33.25)
29,Stratonikeia,599947,45635759,-281.0,-261,POINT (28.061849 37.3137095)
30,Laodikeia (Katakekaumene)/Claudiolaodicea,619197,45635759,,-188,POINT (32.374024 38.192186)
31,Mylasa,599809,45635759,,-188,POINT (27.7902386667 37.3027506667)
32,Magnesia ad Maeandrum/Leukophrys,599778,45635759,,-188,POINT (27.526039 37.8505485)
33,Laodicea ad Libanum,668291,45635759,-305.0,-281,POINT (36.5193557285 34.5571498714)
34,Maroneia,501507,45635759,,-188,POINT (25.511426 40.873751)
35,Cyme,550506,45635759,-282.0,-218,POINT (26.9392185 38.760689)
36,Ja Nishin/Soloke?/Seleucia?/Surak?,912870,45635759,,,POINT (49.426712 30.987225)
37,Naulochon/Smyrna/Palaia Smyrna,550771,45635759,-282.0,-218,POINT (27.14781 38.440912)
38,[Khuvar]/Choara/Apameia (Rhagiane)?,942286,45635759,,,POINT (52.497326 35.286884)
39,Heliopolis/Col. Iulia Augusta Felix,678179,45635759,,,POINT (36.2021205 34.0110135)
40,Pergamum,550812,45635759,,-188,POINT (27.1845303333 39.1312133333)
41,Pityoussa/Lampsacus,501570,45635759,,-188,POINT (26.699162 40.346685)
42,Adana/Antiochia ad Sarum,648548,45635759,-294.0,-164,POINT (35.3325011 36.9949537)
43,Parapotamia,668334,45635759,,,POINT (38.75 35.75)
44,Limyra,638961,45635759,,-188,POINT (30.170239 36.341966)
45,Mopsou(h)estia/Seleukeia pros to Pyramo,658538,45635759,,,POINT (35.61627 36.9644503333)
46,Mysia (region),550759,45635759,-282.0,-218,POINT (27.1750848165 39.1250418874)
47,Thyateira,550924,45635759,-305.0,-281,POINT (27.844879 38.910724)
48,Elaitikos Sinus,550525,45635759,-282.0,-263,POINT (26.9166685 38.8666685)
49,Kibyra Mikra,638917,45635759,,-188,POINT (31.659825 36.659851)
50,Damascus,678106,45635759,,,POINT (36.309102 33.511612)
51,Stratonicaea/Hadrianopolis,550898,45635759,-281.0,-261,POINT (27.801765 39.142114)
52,Pelusium,727192,45635759,,,POINT (32.600128 31.049917)
53,Soloi/Pompeiopolis,648781,45635759,,,POINT (34.5392216667 36.7400556667)
54,Arados,668197,45635759,,,POINT (35.8584331667 34.857075)
55,Mesene/Characene/Shad Bahman/Maisan,912905,45635759,,,POINT (47.562804 30.8093425)
56,Thracia,501638,45635759,,-188,POINT (23.129408 40.288041)
57,Aegae,550404,45635759,-281.0,-228,POINT (27.19367 38.83379)
58,D(o)ura/Europos,893990,45635759,-305.0,-281,POINT (40.7300288605 34.747546619)
59,Hydatos Potamoi/Seleukeia Pieria,658483,45635759,-305.0,-281,POINT (35.9285965 36.1212645)
60,Alexandria/Antiochia/Merv,961873,45635759,,,POINT (62.1926395 37.6662575)
61,Pamphylia (region),639034,45635759,,-188,POINT (30.98638 36.990721)
62,Chalcis ad Belum,668226,45635759,-305.0,-281,POINT (37.009719 36.007956)
63,Uruk/Orchoe/Erech/Orikut,912986,45635759,,,POINT (45.61715 31.318603)
64,Antiochia ad Maeandrum,638748,45635759,-281.0,-261,POINT (28.548284 37.873542)
65,Gadara/Pompeia,678142,45635759,,,POINT (35.6781455 32.655922)
66,Phrygia,609502,45635759,-282.0,-245,POINT (29.75 38.75)
67,Botrys,668214,45635759,,,POINT (35.659726 34.253561)
68, Sardis/Hyde?,550867,45635759,,-188,POINT (28.040286 38.488314)
69,Galilaea,678145,45635759,,,POINT (35.25 32.75)
70,Iasos,599664,45635759,,-188,POINT (27.585075 37.278837)
71,Lydda/Diospolis/Georgioupolis,687953,45635759,,,POINT (34.892378 31.9582535)
72,Antigoneia/(Col. Augusta) Alexandria Troas,550434,45635759,-281.0,-196,POINT (26.1547495 39.7564735)
73,Antiochia/Col. Caesarea,609307,45635759,-281.0,-261,POINT (31.1894355 38.305175)
74,Casiana,975410331,45635759,,,POINT (36.4064745 35.425762)
75,Assos/Apollonia,550463,45635759,-281.0,-241,POINT (26.3383585 39.491111)
76,Ioppe,687931,45635759,,,POINT (34.7499295 32.053079)
77,Skepsis,550890,45635759,,-188,POINT (26.688003 39.82554)
78,Achaia (settlement),60403,45635759,-305.0,,POINT (61.5 34.5)
79,Seleukobelos?,668364,45635759,,,POINT (36.328006 35.83691)
80,Eleutheros (river),668241,45635759,,,POINT (36.0743639 34.6281243)
81,Seleukis,658592,45635759,,,POINT (36.25 36.25)
82,Kardia/Lysimacheia,501458,45635759,,-188,POINT (26.75081 40.548232)
83,Klazomenai (later),550651,45635759,-281.0,-188,POINT (26.77422735 38.3635964167)
84,Idumaea,687927,45635759,,,POINT (34.75 31.25)
85,Cyrrestice,658445,45635759,,,POINT (36.75 36.75)
86,Sidon/Col. Aurelia Pia,678393,45635759,,,POINT (35.37324 33.560328)
87,Beroia,658409,45635759,-305.0,-80,POINT (37.1628351411 36.1994074125)
88,Mygdonia,874614,45635759,,,POINT (40.5 36.5)
89,Ierusalem/Hierosolyma/Col. Aelia Capitolina,687928,45635759,,,POINT (35.234156 31.776679)
90,Troas (region),550944,45635759,,-188,POINT (26.3369435348 39.8370515218)
91,Tyrus/Col. Septimia Severa,678437,45635759,,,POINT (35.2038435 33.2698475)
92,Laodicea,668290,45635759,-305.0,-281,POINT (35.7766297 35.51892275)
93,Karastel/Artemita?,894020,45635759,,,POINT (44.822085 33.88109)
94,Europos,658465,45635759,,,POINT (38.012758 36.823588)
95,Laodicea ad Lycum/Diospolis/Roas,638955,45635759,,-188,POINT (29.104542 37.831408)
96,Baitokaike,668205,45635759,,,POINT (36.251155 34.9304415)
97,Seleucia/Claudioseleucia/Seleucia Sidera,639098,45635759,-281.0,-261,POINT (30.6212863333 37.8963206667)
98,Nippur/Nufar/‘Hippareni’,912910,45635759,,,POINT (45.230833 32.126944)
